Codigo INE;Municipio;Provincia;Comunidad Autonoma;Bicicletas Fallecidos;Bicicletas Heridos Graves;Bicicletas Heridos Leves;Ciclomotores Fallecidos;Ciclomotores Heridos Graves;Ciclomotores Heridos Leves;Motocicletas Fallecidos;Motocicletas Heridos Graves;Motocicletas Heridos Leves;Turismos Fallecidos;Turismos Heridos Graves;Turismos Heridos Leves;Furgonetas Fallecidos;Furgonetas Heridos Graves;Furgonetas Heridos Leves;Camiones Fallecidos;Camiones Heridos Graves;Camiones Heridos Leves;Autobus Fallecidos;Autobus Heridos Graves;Autobus Heridos Leves;Otros Fallecidos;Otros Heridos Graves;Otros Heridos Leves;Peatones Fallecidos;Peatones Heridos Graves;Peatones Heridos Leves;N Accidentes con Victimas;Fallecidos;Heridos Hospitalizados;Heridos no Hospitalizados;Latitud;Longitud
49092;Granucillo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,05194444;-5,9275
49093;Guarrate;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,29083333;-5,44
49094;Hermisende;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,9686699;-6,8953227
49095;Iniesta;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,444555;-1,7487477
49096;Jambrina;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,3937506;-5,6638372
49098;Losacino;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,68111111;-6,079444444
49099;Losacio;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,7108807;-6,0398748
49100;Lubián;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,035;-6,906944444
49101;Luelmo;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,4396127;-6,1327146
49102;El Maderal;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,2812662;-5,6218396
49103;Madridanos;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,4803445;-5,6040598
49104;Mahíde;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,86916667;-6,377222222
49105;Maire de Castroponce;Zamora;Castilla y León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42,11166667;-5,784166667
49107;Romula;Zamora;Castilla y León;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44,16667;24,4
